Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Year
Brendan Haywood,31,DAL,C,72,8,1331,11.7,0.532,0.004,0.794,11.8,20.9,16.5,2.1,0.6,4.2,14.5,12.4,0.8,2.1,2.9,0.104,-2.5,0.6,-1.9,0.0,,haywobr01,2010-2011
Shawne Williams,24,NYK,PF,64,11,1323,12.2,0.558,0.551,0.127,5.1,15.6,10.3,5.3,1.5,2.8,10.2,15.2,1.4,1.1,2.5,0.089,-0.5,-0.2,-0.7,0.4,,willish03,2010-2011
Brandon Roy,26,POR,SG,47,23,1310,13.9,0.491,0.218,0.264,2.5,9.1,5.6,16.8,1.5,0.8,8.6,22.8,1.2,0.9,2.1,0.077,0.2,-0.4,-0.2,0.6,,roybr01,2010-2011
Aaron Brooks,26,2TM,PG,59,12,1284,13.1,0.489,0.402,0.239,1.8,5.2,3.5,28.9,1.3,0.2,13.2,25.9,0.7,0.4,1.1,0.040,-0.3,-2.7,-3.0,-0.3,,brookaa01,2010-2011
Aaron Brooks,26,HOU,PG,34,7,811,11.7,0.465,0.437,0.214,1.5,5.6,3.6,25.2,1.3,0.2,11.5,26.1,0.1,0.3,0.4,0.023,-1.3,-2.8,-4.1,-0.4,,brookaa01,2010-2011
Aaron Brooks,26,PHO,PG,25,5,473,15.6,0.533,0.335,0.285,2.2,4.4,3.3,35.3,1.4,0.2,16.4,25.7,0.6,0.1,0.7,0.070,1.3,-2.4,-1.1,0.1,,brookaa01,2010-2011
Nazr Mohammed,33,2TM,C,75,37,1280,15.9,0.538,0.002,0.250,13.2,21.2,17.2,3.3,1.2,3.5,12.3,20.6,1.0,1.6,2.7,0.100,-2.0,-0.8,-2.8,-0.3,,mohamna01,2010-2011
Nazr Mohammed,33,CHA,C,51,30,851,15.9,0.520,0.003,0.278,13.3,22.6,17.9,3.7,0.9,4.4,12.5,22.4,0.3,1.1,1.4,0.080,-2.4,-0.8,-3.2,-0.3,,mohamna01,2010-2011
Nazr Mohammed,33,OKC,C,24,7,429,16.0,0.583,0.000,0.183,13.0,18.5,15.8,2.4,1.9,1.7,11.8,17.0,0.7,0.5,1.2,0.139,-1.3,-0.8,-2.1,0.0,,mohamna01,2010-2011
Paul George,20,IND,SG,61,19,1265,13.0,0.542,0.349,0.256,3.3,16.3,9.8,8.3,2.5,1.5,13.7,17.8,0.5,1.9,2.4,0.091,-1.6,1.4,-0.1,0.6,,georgpa01,2010-2011
