Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
Dwight Buycks,25,LAL,PG,6,0,123,13.1,0.586,0.275,0.250,1.7,9.3,5.4,18.4,1.2,0.0,21.3,20.4,0.1,0.0,0.1,0.027,-0.2,-2.3,-2.6,0.0,,buyckdw01
Dahntay Jones,34,LAC,SF,33,0,123,1.9,0.406,0.190,0.524,0.9,9.0,5.0,2.1,1.2,0.0,3.7,9.8,0.0,0.1,0.0,0.013,-7.7,-0.6,-8.3,-0.2,,jonesda02
Jordan Hamilton,24,LAC,SF,14,2,122,8.3,0.543,0.600,0.000,1.9,12.7,7.4,8.2,0.8,0.0,10.3,14.4,0.1,0.1,0.1,0.059,-1.7,-0.7,-2.4,0.0,,hamiljo02
Brendan Haywood,35,CLE,C,22,1,119,9.1,0.490,0.000,0.433,5.9,21.9,14.0,2.5,0.9,6.6,21.9,17.3,-0.2,0.2,0.0,0.008,-7.0,0.7,-6.3,-0.1,,haywobr01
Elliot Williams,25,2TM,SG,13,0,119,8.7,0.477,0.486,0.108,0.0,7.7,3.8,15.5,1.8,0.0,9.4,16.4,0.0,0.1,0.1,0.039,-2.7,-0.2,-2.8,0.0,,williel01
Elliot Williams,25,UTA,SG,5,0,42,14.4,0.648,0.538,0.154,0.0,8.2,4.1,16.1,2.5,0.0,22.4,19.5,0.0,0.0,0.1,0.090,3.1,0.6,3.6,0.1,,williel01
Elliot Williams,25,NOP,SG,8,0,77,5.6,0.382,0.458,0.083,0.0,7.4,3.7,15.2,1.4,0.0,0.0,14.7,0.0,0.0,0.0,0.012,-5.8,-0.6,-6.4,-0.1,,williel01
Quincy Miller,22,2TM,PF,10,0,119,7.4,0.338,0.474,0.289,3.7,14.9,9.4,9.8,3.0,3.3,10.5,17.8,-0.2,0.2,-0.1,-0.030,-4.4,0.6,-3.8,-0.1,,millequ01
Quincy Miller,22,SAC,PF,6,0,61,11.1,0.372,0.389,0.611,3.9,18.0,11.2,7.1,5.0,3.9,11.6,18.7,-0.1,0.1,0.0,0.010,-2.5,2.5,-0.1,0.0,,millequ01
Quincy Miller,22,DET,PF,4,0,58,3.6,0.300,0.550,0.000,3.6,11.7,7.5,12.7,0.9,2.7,9.1,16.8,-0.1,0.0,-0.1,-0.072,-6.4,-1.3,-7.7,-0.1,,millequ01
Shayne Whittington,23,IND,PF,20,0,108,20.0,0.547,0.143,0.548,10.3,19.3,14.8,9.6,2.4,1.5,8.8,23.9,0.3,0.2,0.4,0.200,-0.3,0.7,0.4,0.1,,whittsh01
Reggie Williams,28,SAS,SF,20,0,105,10.5,0.454,0.487,0.103,5.5,12.7,9.2,14.4,0.5,0.0,4.7,18.5,0.1,0.1,0.2,0.083,-2.0,-0.9,-3.0,0.0,,willire02
Kenyon Martin,37,MIL,PF,11,0,104,10.0,0.437,0.000,0.091,6.7,14.2,10.5,7.0,2.5,4.9,11.6,11.2,0.0,0.2,0.2,0.086,-4.4,2.2,-2.2,0.0,,martike01
Chris Douglas-Roberts,28,LAC,SG,12,0,103,3.3,0.387,0.333,0.381,1.1,11.8,6.6,5.0,0.5,0.0,0.0,10.7,0.0,0.1,0.0,0.020,-5.6,-1.2,-6.8,-0.1,,douglch01
C.J. Wilcox,24,LAC,SG,21,0,101,8.5,0.527,0.500,0.053,1.1,6.5,3.9,12.0,1.5,0.8,20.5,21.8,-0.1,0.1,0.0,-0.024,-3.0,-1.8,-4.9,-0.1,,wilcocj01
Earl Clark,27,BRK,PF,10,0,93,6.7,0.425,0.467,0.133,1.2,26.5,13.9,5.0,1.7,3.5,15.9,18.5,-0.2,0.1,-0.1,-0.037,-6.4,-0.1,-6.5,-0.1,,clarkea01
Paul George,24,IND,SF,6,0,91,13.0,0.492,0.449,0.224,4.9,21.7,13.4,11.8,2.8,0.9,18.2,32.8,-0.2,0.2,0.0,-0.008,-2.3,0.1,-2.2,0.0,,georgpa01
Clint Capela,20,HOU,C,12,0,90,12.1,0.409,0.000,0.793,12.3,31.8,22.1,3.6,0.6,7.8,11.3,21.3,-0.2,0.2,0.0,0.019,-5.3,0.0,-5.4,-0.1,,capelca01
Jared Cunningham,23,LAC,SG,19,0,89,7.3,0.452,0.394,0.394,1.3,9.9,5.7,16.4,1.7,0.0,15.3,23.2,-0.1,0.1,0.0,-0.023,-6.1,-2.0,-8.1,-0.1,,cunnija01
Shannon Brown,29,MIA,SG,5,2,89,4.4,0.482,0.368,0.211,0.0,1.3,0.7,5.2,2.4,0.0,16.2,13.1,-0.1,0.0,0.0,-0.016,-5.5,-1.3,-6.8,-0.1,,brownsh01
Jack Cooley,23,UTA,C,16,0,87,11.4,0.432,0.000,0.955,13.3,19.8,16.6,1.8,3.7,2.8,8.8,18.0,0.0,0.2,0.2,0.092,-6.6,1.0,-5.7,-0.1,,cooleja01
Xavier Henry,23,LAL,SF,9,0,86,4.9,0.424,0.000,1.846,2.5,2.7,2.6,4.8,1.8,0.0,11.3,13.7,-0.1,0.0,-0.1,-0.030,-4.9,-2.3,-7.2,-0.1,,henryxa01
Victor Claver,26,POR,SF,10,0,76,9.2,0.600,0.550,0.000,4.3,23.5,14.1,1.9,0.7,0.9,16.7,14.1,0.0,0.1,0.1,0.086,-3.5,0.3,-3.2,0.0,,clavevi01
Zoran Dragić,25,2TM,SG,16,1,75,8.2,0.435,0.467,0.167,7.8,4.6,6.2,11.2,1.4,0.0,13.4,22.9,-0.1,0.0,-0.1,-0.042,-4.1,-3.6,-7.7,-0.1,,dragizo01
Zoran Dragić,25,PHO,SG,6,0,13,9.1,0.322,0.625,0.375,16.7,8.5,12.6,11.9,0.0,0.0,0.0,31.5,0.0,0.0,0.0,-0.077,-4.1,-5.7,-9.9,0.0,,dragizo01
Zoran Dragić,25,MIA,SG,10,1,62,8.0,0.481,0.409,0.091,5.9,3.8,4.8,11.0,1.7,0.0,17.9,21.1,-0.1,0.0,0.0,-0.035,-4.1,-3.1,-7.2,-0.1,,dragizo01
Vander Blue,22,LAL,SG,2,1,74,4.0,0.342,0.333,0.167,2.9,10.9,6.7,16.8,2.1,0.0,15.7,23.0,-0.3,0.0,-0.2,-0.156,-6.5,-3.3,-9.8,-0.1,,blueva01
Jannero Pargo,35,CHO,PG,9,0,73,14.9,0.571,0.629,0.057,0.0,4.6,2.3,20.8,0.0,0.0,7.7,24.3,0.1,0.0,0.2,0.113,3.1,-1.3,1.8,0.1,,pargoja01
Sean Kilpatrick,25,MIN,SG,4,0,72,10.0,0.506,0.650,0.200,1.5,8.2,4.8,8.5,2.1,0.0,8.4,14.6,0.1,0.0,0.1,0.033,-1.4,-0.9,-2.2,0.0,,kilpase01
Ognjen Kuzmić,24,GSW,C,16,0,72,12.9,0.727,0.000,0.333,10.8,14.5,12.7,11.1,1.4,1.0,26.7,11.3,0.2,0.1,0.3,0.171,-2.3,0.8,-1.4,0.0,,kuzmiog01
