Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
Tyus Jones,22,MIN,PG,68,23,1560,13.7,0.491,0.283,0.155,1.6,7.7,4.6,28.3,2.5,0.3,9.0,14.1,2.1,0.9,3.0,0.091,-0.9,0.3,-0.6,0.6,,jonesty01
Taurean Prince,24,ATL,SF,55,47,1552,11.9,0.575,0.530,0.195,1.5,12.3,6.7,11.1,1.6,1.1,13.4,19.5,0.8,0.7,1.5,0.047,-1.0,-1.0,-2.0,0.0,,princta02
Rodney McGruder,27,MIA,SG,66,45,1550,9.4,0.510,0.488,0.156,4.1,12.2,8.2,10.3,1.1,0.7,11.5,15.4,0.4,1.6,1.9,0.059,-2.2,-0.1,-2.3,-0.1,,mcgruro01
Alex Len,25,ATL,C,77,31,1544,17.2,0.575,0.315,0.333,10.5,18.5,14.4,8.6,0.8,3.9,11.5,22.1,2.2,1.0,3.2,0.100,0.0,-1.3,-1.2,0.3,,lenal01
Tyler Johnson,26,2TM,PG,57,22,1529,12.4,0.532,0.494,0.241,2.4,9.8,6.1,15.9,1.7,1.6,11.7,18.5,0.9,1.4,2.3,0.071,-0.7,0.3,-0.4,0.6,,johnsty01
Tyler Johnson,26,MIA,PG,44,10,1123,12.3,0.540,0.509,0.219,1.8,9.7,5.7,14.9,1.7,1.7,12.5,19.2,0.5,1.3,1.8,0.075,-0.7,0.6,-0.1,0.5,,johnsty01
Tyler Johnson,26,PHO,PG,13,12,406,12.8,0.506,0.448,0.312,4.0,10.3,7.1,18.6,1.6,1.2,9.0,16.5,0.4,0.1,0.5,0.060,-0.5,-0.6,-1.0,0.1,,johnsty01
Jaren Jackson Jr.,19,MEM,PF,58,56,1515,16.4,0.591,0.241,0.334,5.3,15.0,10.1,7.2,1.7,5.1,12.7,22.8,1.2,2.2,3.3,0.105,-1.2,1.0,-0.3,0.7,ROY-4,jacksja02
Dennis Smith Jr.,21,2TM,PG,53,50,1508,12.3,0.502,0.320,0.240,2.2,8.7,5.5,27.3,2.1,1.1,17.6,24.8,-1.2,1.2,0.0,0.001,-1.6,-0.4,-1.9,0.0,,smithde03
Dennis Smith Jr.,21,DAL,PG,32,32,908,11.5,0.527,0.350,0.230,2.1,9.3,5.7,24.1,2.1,1.0,20.3,23.3,-0.7,0.9,0.2,0.010,-2.1,0.0,-2.1,0.0,,smithde03
Dennis Smith Jr.,21,NYK,PG,21,18,600,13.5,0.473,0.283,0.253,2.4,7.9,5.1,32.2,2.2,1.3,14.2,27.0,-0.5,0.3,-0.2,-0.014,-0.8,-0.9,-1.7,0.0,,smithde03
Torrey Craig,28,DEN,SF,75,37,1503,10.4,0.547,0.519,0.193,6.4,12.6,9.5,6.3,1.2,2.7,10.1,12.4,1.4,1.7,3.0,0.096,-2.0,0.2,-1.9,0.0,,craigto01
Maxi Kleber,27,DAL,PF,71,18,1502,13.1,0.579,0.565,0.192,6.5,16.9,11.7,6.8,1.2,4.4,11.4,13.5,1.6,1.8,3.5,0.111,-0.8,1.2,0.4,0.9,,klebima01
Thomas Bryant,21,WAS,C,72,53,1496,21.0,0.674,0.197,0.273,8.1,25.1,16.5,9.3,0.8,3.8,9.6,17.6,4.3,1.3,5.6,0.178,2.3,-0.3,2.0,1.5,,bryanth01
